name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,critic_score,critic_count,user_score,user_count,developer,rating,Manufacturer,CountDeveloper,CountPublisher
Tetris Worlds,GBA,2001,Puzzle,THQ,1250000,390000,0,60000,6.5,10,6.3,NA,3d6 Games,E,Nintendo,1,21
Personal Trainer: Math,DS,2007,Puzzle,Ninti,480000,1120000,0,80000,6.3,11,6.3,NA,Jupiter Corporation,E,Nintendo,6,81
Game Party 3,Weii,2009,Puzzle,Warner Bros. Interactive Entertainment,1400000,160000,0,120000,3.7,4,6.3,NA,Farsight Studios,E,Nintendo,1,7
Puzzler Collection,DS,2008,Puzzle,Ubisoft,160000,780000,0,40000,7.1,5,6.3,NA,Route 1 Games,E,Nintendo,1,50
TouchMaster 2,DS,2008,Puzzle,Midway Games,300000,490000,0,100000,7.6,8,6.3,NA,Midway Studios - San Diego,E,Nintendo,2,7
Pictionary,Weii,2010,Puzzle,THQ,600000,190000,0,70000,7.1,7,6.3,NA,Page 44 Studios,E,Nintendo,1,21
Puzzler World,DS,2009,Puzzle,Ubisoft,410000,300000,0,70000,6.48,NA,6.3,NA,Ubisoft,E,Nintendo,5,50
TV Show King Party,Weii,2008,Puzzle,Ubisoft,180000,400000,0,80000,6.48,NA,6.3,NA,Gameloft,T,Nintendo,2,50
Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,280000,220000,0,70000,6.48,NA,6.3,NA,EA Bright Light,E,Sony,2,34
Ms. Pac-Man Maze Madness,GBA,2004,Puzzle,Zoo Digital Publishing,400000,150000,0,10000,6.48,NA,6.3,NA,Full-Fat,E,Nintendo,1,13
Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,420000,10000,0,30000,6.5,14,6.3,NA,Crave,E,Nintendo,2,6
TouchMaster 3,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,290000,110000,0,40000,6.8,7,6.3,NA,Hijinx Studios,E,Nintendo,1,7
